case_number,year,month,day,country,activity,species,type,people_involved,sex,fatal
2018.10.19.b,2018.0,10.0,19.0,AUS,Board_Activity,Bull,Unprovoked,I,M,N
2018.10.19.a,2018.0,10.0,19.0,NZL,Board_Activity,Great_White,Unprovoked,I,M,N
2018.10.13,2018.0,10.0,13.0,AUS,Spearfishing_Activity,Great_White,Unknown,I,M,N
2018.10.11,2018.0,10.0,11.0,USA,Board_Activity,Spinner,Unprovoked,I,F,N
2018.10.08,2018.0,10.0,8.0,AUS,Fishing_Activity,Unspecified_Reef,Provoked,I,M,N
2018.08.05,2018.0,8.0,5.0,USA,Wading_Activity,Unknown,Unprovoked,I,F,N
2018.08.03,2018.0,8.0,3.0,EGY,Snorkeling_Activity,Tiger,Unprovoked,I,M,Y
2018.07.29,2018.0,7.0,29.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2018.07.24,2018.0,7.0,24.0,OTH,Tank_Activity,Unknown,Provoked,I,F,N
2018.07.18.b,2018.0,7.0,18.0,USA,Board_Activity,Sand_Tiger,Unprovoked,I,M,N
2018.07.18.a,2018.0,7.0,18.0,USA,Wading_Activity,Sand_Tiger,Unprovoked,I,F,N
2018.07.14.b,2018.0,7.0,14.0,USA,Wading_Activity,Salmon,Provoked,I,F,N
2018.07.14.a,2018.0,7.0,14.0,USA,Board_Activity,Unknown,Unknown,I,F,N
2018.07.11.b,2018.0,7.0,11.0,USA,Wading_Activity,Unknown,Unprovoked,I,M,N
2018.07.13.a,2018.0,7.0,13.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2018.07.11,2018.0,7.0,11.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2018.07.09.R,2018.0,7.0,9.0,BHS,Swimming_Activity,Nurse,Unprovoked,I,F,N
2018.07.02,2018.0,7.0,2.0,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2018.06.25,2018.0,6.0,25.0,USA,Board_Activity,Great_White,Boating,I,F,N
2018.06.18.b,2018.0,6.0,18.0,USA,Fishing_Activity,Nurse,Provoked,I,M,N
2018.06.18.a,2018.0,6.0,18.0,USA,Wading_Activity,Unknown,Unprovoked,I,F,N
2018.06.08,2018.0,6.0,8.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2018.06.04,2018.0,6.0,4.0,MEX,Free_Diving_Activity,Tiger,Provoked,I,M,N
2018.06.03.b,2018.0,6.0,3.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2018.06.03.a,2018.0,6.0,3.0,OTH,Swimming_Activity,Tiger,Unprovoked,I,M,Y
2018.05.27,2018.0,5.0,27.0,USA,Fishing_Activity,Lemon,Unprovoked,I,M,N
2018.05.26.b,2018.0,5.0,26.0,USA,Wading_Activity,Bull,Unprovoked,I,M,N
2018.05.26.a,2018.0,5.0,26.0,USA,Wading_Activity,Unknown,Unprovoked,I,M,N
2018.05.24,2018.0,5.0,24.0,AUS,Feeding_Activity,Grey_Reef,Provoked,I,M,N
2018.05.21,2018.0,5.0,21.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2018.05.13.b,2018.0,5.0,13.0,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2018.05.12,2018.0,5.0,12.0,ZAF,Board_Activity,Unknown,Unprovoked,I,M,N
2018.04.30.R,2018.0,4.0,30.0,OTH,Swimming_Activity,Unknown,Unprovoked,I,F,N
2018.04.28.c,2018.0,4.0,28.0,USA,Fishing_Activity,Sand_Tiger,Provoked,I,M,N
2018.04.28.b,2018.0,4.0,28.0,OTH,Scuba_Diving_Activity,Tiger,Unprovoked,I,M,N
2018.04.28.a,2018.0,4.0,28.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2018.04.25.a,2018.0,4.0,25.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2018.04.24,2018.0,4.0,24.0,AUS,Board_Activity,Great_White,Unprovoked,I,M,N
2018.04.23,2018.0,4.0,23.0,OTH,Fishing_Activity,Tiger,Unprovoked,I,M,N
2018.04.22,2018.0,4.0,22.0,ZAF,Board_Activity,Great_White,Unprovoked,I,M,N
2018.04.19,2018.0,4.0,19.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2018.04.15.d,2018.0,4.0,15.0,OTH,Swimming_Activity,Bull,Unprovoked,I,M,N
2018.04.15.c,2018.0,4.0,15.0,OTH,Swimming_Activity,Unknown,Unprovoked,I,M,N
2018.04.15.b,2018.0,4.0,15.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2018.04.15.a,2018.0,4.0,15.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2018.04.14,2018.0,4.0,14.0,BHS,Board_Activity,Tiger,Unprovoked,I,M,N
2018.04.09,2018.0,4.0,9.0,NCL,Board_Activity,Unknown,Unprovoked,U,U,N
2018.04.05,2018.0,4.0,5.0,BHS,Swimming_Activity,Bull,Unprovoked,I,M,N
2018.04.03,2018.0,4.0,3.0,ZAF,Board_Activity,Great_White,Unprovoked,I,M,N
2018.03.31,2018.0,3.0,31.0,USA,Board_Activity,Tiger,Unprovoked,I,M,N
2018.03.14,2018.0,3.0,14.0,AUS,Wading_Activity,Unspecified_Wobbegong,Unprovoked,I,M,N
2018.03.09.b,2018.0,3.0,9.0,AUS,Swimming_Activity,Unknown,Unprovoked,I,M,N
2018.03.09.a,2018.0,3.0,9.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2018.02.24,2018.0,2.0,24.0,ZAF,Scuba_Diving_Activity,Oceanic_Blacktip,Unprovoked,I,M,N
2018.02.23,2018.0,2.0,23.0,AUS,Swimming_Activity,Great_White,Unprovoked,I,F,N
2018.02.17,2018.0,2.0,17.0,AUS,Paddle_Boat_Activity,Unknown,Provoked,I,M,N
2018.02.15,2018.0,2.0,15.0,AUS,Wading_Activity,Bull,Unprovoked,I,M,N
2018.02.03,2018.0,2.0,3.0,OTH,Snorkeling_Activity,Galapagos_Reef,Unprovoked,I,M,N
2018.01.28,2018.0,1.0,28.0,AUS,Unknown_Activity,Bull,Unprovoked,I,M,N
2018.01.21,2018.0,1.0,21.0,NCL,Spearfishing_Activity,Bull,Unprovoked,I,M,N
2018.01.14,2018.0,1.0,14.0,AUS,Free_Diving_Activity,Grey_Reef,Unprovoked,I,M,N
2018.01.13,2018.0,1.0,13.0,AUS,Free_Diving_Activity,Great_White,Unprovoked,I,M,N
2018.01.12,2018.0,1.0,12.0,OTH,Board_Activity,Unknown,Unprovoked,I,M,N
2018.01.05,2018.0,1.0,5.0,AUS,Board_Activity,Unspecified_Wobbegong,Unprovoked,I,M,N
2017.12.31,2017.0,12.0,31.0,USA,Board_Activity,Tiger,Unprovoked,I,F,N
2017.12.30,2017.0,12.0,30.0,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2017.12.21,2017.0,12.0,21.0,OTH,Wading_Activity,Sand_Tiger,Provoked,I,M,N
2017.12.09,2017.0,12.0,9.0,BHS,Snorkeling_Activity,Nurse,Unprovoked,I,F,N
2017.11.30.b,2017.0,11.0,30.0,OTH,Scuba_Diving_Activity,Tiger,Unprovoked,I,U,N
2017.11.30.a,2017.0,11.0,30.0,OTH,Scuba_Diving_Activity,Tiger,Unprovoked,I,F,Y
2017.11.25.R,2017.0,11.0,25.0,OTH,Sea_Disaster,Great_Blue,Sea Disaster,M,S,Y
2017.11.24,2017.0,11.0,24.0,USA,Spearfishing_Activity,Great_White,Unprovoked,I,M,N
2017.11.18,2017.0,11.0,18.0,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2017.11.13.R,2017.0,11.0,13.0,OTH,Board_Activity,Unknown,Unprovoked,I,M,N
2017.11.13,2017.0,11.0,13.0,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2017.11.04,2017.0,11.0,4.0,CUB,Wading_Activity,Tiger,Unprovoked,I,M,Y
2017.11.02,2017.0,11.0,2.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.10.31.R,2017.0,10.0,31.0,AUS,Snorkeling_Activity,Cookiecutter,Unprovoked,I,M,N
2017.10.28,2017.0,10.0,28.0,AUS,Board_Activity,Unspecified_Wobbegong,Unprovoked,I,M,N
2017.10.26,2017.0,10.0,26.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.10.23.c,2017.0,10.0,23.0,OTH,Swimming_Activity,Unknown,Unprovoked,I,M,N
2017.10.23.b,2017.0,10.0,23.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.10.23.a,2017.0,10.0,23.0,USA,Swimming_Activity,Unknown,Unprovoked,I,F,N
2017.10.22,2017.0,10.0,22.0,AUS,Paddle_Boat_Activity,Great_White,Unprovoked,I,F,N
2017.10.21,2017.0,10.0,21.0,NZL,Paddle_Boat_Activity,Unknown,Unprovoked,I,M,N
2017.10.18,2017.0,10.0,18.0,USA,Swimming_Activity,Spinner,Unprovoked,I,M,N
2017.10.09,2017.0,10.0,9.0,USA,Board_Activity,Tiger,Unprovoked,I,M,N
2017.10.05,2017.0,10.0,5.0,USA,Snorkeling_Activity,Unknown,Unprovoked,I,F,N
2017.09.25.b,2017.0,9.0,25.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.09.25.a,2017.0,9.0,25.0,AUS,Board_Activity,Great_White,Unprovoked,I,F,N
2017.09.24.a,2017.0,9.0,24.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.09.20,2017.0,9.0,20.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.09.16.b,2017.0,9.0,16.0,ESP,Board_Activity,Porbeagle,Unprovoked,I,M,N
2017.09.16.a,2017.0,9.0,16.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.09.15.a,2017.0,9.0,15.0,OTH,Fishing_Activity,Unknown,Unknown,I,M,N
2017.09.14,2017.0,9.0,14.0,AUS,Fishing_Activity,Great_White,Boating,U,U,N
2017.09.13,2017.0,9.0,13.0,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2017.09.10.b,2017.0,9.0,10.0,AUS,Swimming_Activity,Unknown,Unprovoked,I,M,N
