2018.08.05,2018,8,5,USA,Wading_Activity,Unknown,Unprovoked,I,F,N
2018.08.03,2018,8,3,EGY,Snorkeling_Activity,Tiger,Unprovoked,I,M,Y
2018.07.29,2018,7,29,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2018.07.24,2018,7,24,OTH,Tank_Activity,Unknown,Provoked,I,F,N
2018.07.18.b,2018,7,18,USA,Board_Activity,Sand_Tiger,Unprovoked,I,M,N
2018.07.18.a,2018,7,18,USA,Wading_Activity,Sand_Tiger,Unprovoked,I,F,N
2018.07.14.b,2018,7,14,USA,Wading_Activity,Salmon,Provoked,I,F,N
2018.07.14.a,2018,7,14,USA,Board_Activity,Unknown,Unknown,I,F,N
2018.07.11.b,2018,7,11,USA,Wading_Activity,Unknown,Unprovoked,I,M,N
2018.07.13.a,2018,7,13,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2018.07.11,2018,7,11,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2018.07.09.R,2018,7,9,BHS,Swimming_Activity,Nurse,Unprovoked,I,F,N
2018.07.02,2018,7,2,USA,Board_Activity,Unknown,Unprovoked,I,F,N
2018.06.25,2018,6,25,USA,Board_Activity,Great_White,Boating,I,F,N
2018.06.18.b,2018,6,18,USA,Fishing_Activity,Nurse,Provoked,I,M,N
2018.06.18.a,2018,6,18,USA,Wading_Activity,Unknown,Unprovoked,I,F,N
2018.06.08,2018,6,8,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2018.06.04,2018,6,4,MEX,Free_Diving_Activity,Tiger,Provoked,I,M,N
2018.06.03.b,2018,6,3,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2018.06.03.a,2018,6,3,OTH,Swimming_Activity,Tiger,Unprovoked,I,M,Y
2018.05.27,2018,5,27,USA,Fishing_Activity,Lemon,Unprovoked,I,M,N
2018.05.26.b,2018,5,26,USA,Wading_Activity,Bull,Unprovoked,I,M,N
2018.05.26.a,2018,5,26,USA,Wading_Activity,Unknown,Unprovoked,I,M,N
2018.05.24,2018,5,24,AUS,Feeding_Activity,Grey_Reef,Provoked,I,M,N
2018.05.21,2018,5,21,USA,Board_Activity,Unknown,Unprovoked,I,M,N
2018.05.13.b,2018,5,13,USA,Swimming_Activity,Unknown,Unprovoked,I,M,N
2018.05.00,,,,AUS,Feeding_Activity,Sand_Tiger,Provoked,I,F,N
2018.05.12,2018,5,12,ZAF,Board_Activity,Unknown,Unprovoked,I,M,N
2018.04.30.R,2018,4,30,OTH,Swimming_Activity,Unknown,Unprovoked,I,F,N
2018.04.28.c,2018,4,28,USA,Fishing_Activity,Sand_Tiger,Provoked,I,M,N
2018.04.28.b,2018,4,28,OTH,Scuba_Diving_Activity,Tiger,Unprovoked,I,M,N
2018.04.28.a,2018,4,28,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2018.04.25.a,2018,4,25,AUS,Board_Activity,Unknown,Unprovoked,I,M,N
2018.04.24,2018,4,24,AUS,Board_Activity,Great_White,Unprovoked,I,M,N
2018.04.23,2018,4,23,OTH,Fishing_Activity,Tiger,Unprovoked,I,M,N
2018.04.22,2018,4,22,ZAF,Board_Activity,Great_White,Unprovoked,I,M,N
2018.04.19,2018,4,19,USA,Board_Activity,Unknown,Unprovoked,I,M,N
